Station,Lat,Lon,Divisions,Year,Thefts
Abbeyfeale,52.3873,-9.29,Limerick,2003,20
Abbeyleix,52.9127,-7.3438,Laois/Offaly,2003,41
Adare,52.5639,-8.7921,Limerick,2003,22
Aglish,52.0716,-7.8221,Waterford,2003,5
Ahascragh,53.3957,-8.3306,Galway,2003,3
Ailt an Chorrain,54.9849,-8.4386,Donegal,2003,9
An Bun Beag,55.0656,-8.2895,Donegal,2003,25
An Charraig,54.6579,-8.6331,Donegal,2003,7
An Cheathru Rua,53.2645,-9.6005,Galway,2003,10
An Clochan Liath,54.9516,-8.3613,Donegal,2003,18
An Coirean,51.8311,-10.1742,Kerry,2003,5
An Craoslach,55.1253,-7.9126,Donegal,2003,6
An Fál Carrach,55.137,-8.102,Donegal,2003,25
An Maim,53.5107,-9.5649,Galway,2003,14
An Rinn,52.0484,-7.5931,Waterford,2003,5
An Spideal,53.2454,-9.3056,Galway,2003,33
Anglesea Street,51.8958,-8.465,Cork City,2003,1452
Annascaul,52.1524,-10.0525,Kerry,2003,4
Aran Mor,53.2721,-8.9319,Galway,2003,138
Ard An Rátha,54.7645,-8.4095,Donegal,2003,12
Ardee,53.8549,-6.5411,Louth,2003,48
Ardfert,52.3235,-9.7789,Kerry,2003,21
Ardfinnan,52.3118,-7.8783,Tipperary,2003,7
Ardmore,51.951,-7.7282,Waterford,2003,6
Ardnacrusha,52.7077,-8.6131,Limerick,2003,50
Ardrahan,53.1566,-8.8065,Galway,2003,4
Arklow,52.7963,-6.1546,Wicklow,2003,216
Arles,52.891000000000005,-7.0189,Laois/Offaly,2003,19
Arva,53.9254,-7.5838,Cavan/Monaghan,2003,4
Ashbourne,53.5114,-6.397,Meath,2003,205
Ashford,53.0139,-6.1073,Wicklow,2003,93
Askeaton,52.6006,-8.9712,Limerick,2003,15
Athea,52.4599,-9.2875,Limerick,2003,5
Athenry,53.2997,-8.7497,Galway,2003,11
Athleague,53.5687,-8.2524,Roscommon/Longford,2003,8
Athlone,53.4233,-7.9447,Westmeath,2003,585
Athy,52.9902,-6.9882,Kildare,2003,201
Aughrim,52.856,-6.3268,Wicklow,2003,21
Avoca,52.8588,-6.2129,Wicklow,2003,16
Baile Atha Bui,53.6236,-6.9159,Meath,2003,32
Baile an Fheirtéaraigh,52.1659,-10.4062,Kerry,2003,2
Baile Bhuirne,51.9458,-9.1692,Cork West,2003,7
Bailieboro,53.9152,-6.9696,Cavan/Monaghan,2003,47
Balbriggan,53.6143,-6.1912,D.M.R. Northern,2003,132
Balla,53.8019,-9.1299,Mayo,2003,18
Ballaghderreen,53.8999,-8.5846,Roscommon/Longford,2003,30
Ballina,54.1129,-9.1604,Mayo,2003,153
Ballinagh,53.9311,-7.4096,Cavan/Monaghan,2003,11
Ballinamore,54.0546,-7.797000000000001,Sligo/Leitrim,2003,14
Ballinasloe,53.3284,-8.2236,Galway,2003,118
Ballincollig,51.8882,-8.5903,Cork City,2003,109
Ballindine,53.6696,-8.9577,Mayo,2003,20
Ballineen,51.7359,-8.9489,Cork West,2003,11
Ballingarry,52.4721,-8.8628,Limerick,2003,9
Ballingarry North,53.0184,-8.0305,Tipperary,2003,1
Ballingarry South,52.586000000000006,-7.541,Tipperary,2003,8
Ballinhassig,51.8041,-8.5705,Cork West,2003,16
Ballinlough,53.7408,-8.6358,Roscommon/Longford,2003,17
Ballinrobe,53.6246,-9.2262,Mayo,2003,40
Ballintra,54.5778,-8.1254,Donegal,2003,38
Ballivor,53.5327,-6.9672,Meath,2003,19
Ballon,52.7432,-6.7722,Kilkenny/Carlow,2003,14
Ballybay,54.1289,-6.9048,Cavan/Monaghan,2003,28
Ballybofey,54.7996,-7.781000000000001,Donegal,2003,85
Ballybunion,52.5113,-9.6702,Kerry,2003,47
Ballyconnell,54.119,-7.5802,Cavan/Monaghan,2003,20
Ballycotton,51.8303,-8.0131,Cork North,2003,3
Ballycroy,54.0258,-9.8259,Mayo,2003,3
Ballycullane,52.2789,-6.8392,Wexford,2003,14
Ballydehob,51.5591,-9.4608,Cork West,2003,8
Ballydesmond,52.1782,-9.231,Cork West,2003,6
Ballyduff,52.4559,-9.6631,Kerry,2003,7
Ballyfermot,53.3448,-6.358,D.M.R. Western,2003,662
Ballygar,53.5219,-8.3284,Galway,2003,10
Ballyhale,52.4683,-7.2015,Kilkenny/Carlow,2003,13
Ballyhaunis,53.763999999999996,-8.7674,Mayo,2003,32
Ballyheigue,52.3892,-9.8275,Kerry,2003,5
Ballyjamesduff,53.8631,-7.2088,Cavan/Monaghan,2003,15
Ballylanders,52.3707,-8.3455,Limerick,2003,12
Ballylinan,52.943000000000005,-7.0432,Laois/Offaly,2003,13
Ballymacarberry,52.2672,-7.7177,Waterford,2003,2
Ballymahon,53.5613,-7.7608,Roscommon/Longford,2003,11
Ballymore,53.4911,-7.6817,Westmeath,2003,5
Ballymote,54.0874,-8.5152,Sligo/Leitrim,2003,20
Ballymun,53.3945,-6.2637,D.M.R. Northern,2003,337
Ballynacargy,53.5863,-7.5349,Westmeath,2003,7
Ballyneety,52.5973,-8.5489,Limerick,2003,26
Ballynoe,52.0602,-8.0993,Cork North,2003,13
Ballyporeen,52.2702,-8.0977,Tipperary,2003,4
Ballyshannon,54.4987,-8.2048,Donegal,2003,70
Ballyvaughan,53.1162,-9.1471,Clare,2003,17
Baltimore,51.4835,-9.3723,Cork West,2003,6
Baltinglass,52.93899999999999,-6.7098,Wicklow,2003,77
Banagher,53.1905,-7.9859,Laois/Offaly,2003,16
Bandon,51.7451,-8.7399,Cork West,2003,63
Bangor Erris,54.144,-9.7471,Mayo,2003,4
Bansha,52.4493,-8.0656,Tipperary,2003,8
Bantry,51.6803,-9.4552,Cork West,2003,69
Barnaderg,53.4805,-8.7225,Galway,2003,2
Barraduff,52.0598,-9.3409,Kerry,2003,2
Beal an Mhuirthead,54.2217,-9.9856,Mayo,2003,21
Beal Atha an Ghaorthaidh,51.8519,-9.229,Cork West,2003,8
Belturbet,54.1012,-7.4426,Cavan/Monaghan,2003,26
Bennettsbridge,52.5903,-7.1832,Kilkenny/Carlow,2003,7
Birr,53.096000000000004,-7.9115,Laois/Offaly,2003,109
Bishopstown,51.8807,-8.5146,Cork City,2003,267
Blacklion,54.2915,-7.8762,Cavan/Monaghan,2003,7
Blackrock Co Cork,51.8943,-8.4045,Cork North,2003,142
Blackrock Co Dublin,53.2998,-6.1775,D.M.R. Southern,2003,632
Blackrock Co Louth,53.9638,-6.3682,Louth,2003,52
Blackwater,52.4454,-6.3488,Wexford,2003,9
Blanchardstown,53.3899,-6.381,D.M.R. Western,2003,1657
Blarney,51.931999999999995,-8.5677,Cork City,2003,105
Blessington,53.1703,-6.5337,Wicklow,2003,94
Boherbue,52.159,-9.0698,Cork West,2003,13
Bonniconlon,54.1096,-9.029,Mayo,2003,4
Borris,52.6018,-6.9293,Kilkenny/Carlow,2003,13
Borris-In-Ossory,52.9393,-7.6288,Laois/Offaly,2003,13
Borrisokane,52.9971,-8.127,Tipperary,2003,14
Borrisoleigh,52.7515,-7.9554,Tipperary,2003,8
Bothar Na Tra,53.2588,-9.0797,Galway,2003,304
Boyle,53.9734,-8.3004,Roscommon/Longford,2003,36
Bray,53.1987,-6.1006,Wicklow,2003,528
Bridewell Cork,51.9005,-8.477,Cork City,2003,602
Bridewell Dublin,53.3471,-6.2741,D.M.R. North Central,2003,996
Bruff,52.4773,-8.547,Limerick,2003,16
Bruree,52.4232,-8.6503,Limerick,2003,6
Bunclody,52.6568,-6.6625,Wexford,2003,37
Buncrana,55.1313,-7.4507,Donegal,2003,57
Bundoran,54.4766,-8.2793,Donegal,2003,33
Burnfoot,55.0547,-7.4016,Donegal,2003,43
Buttevant,52.2293,-8.6713,Cork North,2003,11
Cabinteely,53.2608,-6.1507,D.M.R. Eastern,2003,407
Cabra,53.365,-6.3076,D.M.R. Western,2003,459
Caherciveen,51.946999999999996,-10.2198,Kerry,2003,15
Caherconlish,52.5938,-8.4695,Limerick,2003,17
Cahir,52.376000000000005,-7.9203,Tipperary,2003,70
Callan,52.5424,-7.391,Kilkenny/Carlow,2003,15
Campile,52.2878,-6.9396,Wexford,2003,15
Cappamore,52.6147,-8.3385,Limerick,2003,18
Cappawhite,52.5832,-8.1648,Tipperary,2003,25
Cappoquin,52.1459,-7.8457,Waterford,2003,18
Carbury,53.3385,-6.9367,Kildare,2003,23
Carlingford,54.0412,-6.1872,Louth,2003,51
Carlow,52.8405,-6.9293,Kilkenny/Carlow,2003,453
Carna,53.3236,-9.8241,Galway,2003,6
Carndonagh,55.2535,-7.2595,Donegal,2003,22
Carnew,52.7105,-6.4918,Wicklow,2003,27
Carraig Airt,55.1751,-7.7985,Donegal,2003,8
Carrickbyrne,52.3624,-6.7597,Wexford,2003,11
Carrickmacross,53.9761,-6.7188,Cavan/Monaghan,2003,110
Carrick-on-Bannow,52.2381,-6.734,Wexford,2003,19
Carrick-On-Shannon,53.9443,-8.0902,Sligo/Leitrim,2003,63
Carrick-On-Suir,52.3482,-7.4099,Tipperary,2003,49
Carrigaline,51.8148,-8.3915,Cork City,2003,63
Carrigallen,53.9756,-7.6467,Sligo/Leitrim,2003,1
Carrigans,54.9512,-7.4268,Donegal,2003,30
Carrigtwohill,51.9095,-8.2618,Cork North,2003,29
Cashel,52.5163,-7.8903,Tipperary,2003,38
Castlebar,53.8534,-9.2976,Mayo,2003,387
Castlebellingham,53.8993,-6.3899,Louth,2003,41
Castleblayney,54.1179,-6.735,Cavan/Monaghan,2003,101
Castlebridge,52.3847,-6.4526,Wexford,2003,11
Castlecomer,52.7993,-7.2095,Kilkenny/Carlow,2003,24
Castleconnell,52.7134,-8.4985,Limerick,2003,96
Castledermot,52.9092,-6.8492,Kildare,2003,37
Castlefin,54.8027,-7.5952,Donegal,2003,31
Castlegregory,52.2542,-10.0206,Kerry,2003,10
Castleisland,52.2304,-9.4628,Kerry,2003,60
Castlemaine,52.1702,-9.7006,Kerry,2003,10
Castlepollard,53.6785,-7.2966,Westmeath,2003,22
Castlerea,53.7666,-8.4841,Roscommon/Longford,2003,43
Castletownbere,51.6495,-9.9147,Cork West,2003,19
Castletownroche,52.1707,-8.468,Cork North,2003,12
Cavan,53.9933,-7.3609,Cavan/Monaghan,2003,222
Celbridge,53.343999999999994,-6.5417,Kildare,2003,223
Charlestown,53.9627,-8.7935,Mayo,2003,28
Charleville,52.3561,-8.6826,Cork North,2003,56
Cill Ronain,53.1213,-9.6678,Galway,2003,5
Clane,53.2937,-6.6859,Kildare,2003,85
Clara,53.3454,-7.6141,Laois/Offaly,2003,57
Claremorris,53.7236,-8.9851,Mayo,2003,91
Clifden,53.4882,-10.0092,Galway,2003,50
Cloch na Ron,53.3936,-9.9211,Galway,2003,3
Cloghan,53.2248,-7.8775,Laois/Offaly,2003,12
Clogheen,52.2769,-7.9953,Tipperary,2003,15
Clogher,54.8368,-8.4275,Donegal,2003,3
Clogherhead,53.7904,-6.2427,Louth,2003,33
Clonakilty,51.6249,-8.8889,Cork West,2003,76
Clonark,53.3684,-8.0347,Roscommon/Longford,2003,13
Clonaslee,53.1486,-7.526,Laois/Offaly,2003,5
Clonbologue,53.2591,-7.0858,Laois/Offaly,2003,8
Clondalkin,53.3231,-6.395,D.M.R. Western,2003,846
Clones,54.1775,-7.2282,Cavan/Monaghan,2003,58
Clonmany,55.263000000000005,-7.4128,Donegal,2003,7
Clonmel,52.3541,-7.6999,Tipperary,2003,211
Clonroche,52.4504,-6.7159,Wexford,2003,31
Clontarf,53.3635,-6.2201,D.M.R. Northern,2003,766
Cloughjordan,52.942,-8.0397,Tipperary,2003,8
Cloyne,51.8628,-8.1235,Cork North,2003,6
Coachford,51.9091,-8.7911,Cork West,2003,10
Cobh,51.8482,-8.3036,Cork North,2003,110
Collon,53.7779,-6.4849,Louth,2003,9
Collooney,54.1855,-8.4879,Sligo/Leitrim,2003,35
Cong,53.5415,-9.2865,Mayo,2003,27
Convoy,54.8593,-7.669,Donegal,2003,21
Coolaney,54.1724,-8.6034,Sligo/Leitrim,2003,8
Coolock,53.3903,-6.2011,D.M.R. Northern,2003,983
Cootehill,54.0747,-7.0787,Cavan/Monaghan,2003,53
Corofin,52.9475,-9.0686,Clare,2003,15
Corofin,53.4376,-8.8631,Galway,2003,4
Courtown Harbour,52.6443,-6.2305,Wexford,2003,34
Craughwell,53.2294,-8.7339,Galway,2003,27
Creggs,53.5949,-8.3638,Galway,2003,3
Crookstown,51.8587,-8.8013,Cork West,2003,15
Croom,52.522,-8.7188,Limerick,2003,31
Crosshaven,51.803999999999995,-8.3045,Cork City,2003,25
Crossmolina,54.0998,-9.3227,Mayo,2003,11
Crumlin,53.3196,-6.315,D.M.R. Southern,2003,533
Crusheen,52.9385,-8.8986,Clare,2003,8
Daingean,53.293,-7.2936,Laois/Offaly,2003,18
Delvin,53.6145,-7.0901,Westmeath,2003,19
Dingle,52.1392,-10.2705,Kerry,2003,12
Dolla,52.7971,-8.1921,Tipperary,2003,1
Donegal Town,54.6524,-8.1111,Donegal,2003,74
Doneraile,52.2157,-8.5854,Cork North,2003,18
Donnybrook,53.3217,-6.2359,D.M.R. South Central,2003,905
Douglas,51.8751,-8.431000000000001,Cork City,2003,238
Dowra,54.1904,-8.0153,Cavan/Monaghan,2003,10
Drimoleague,51.659,-9.264,Cork West,2003,12
Drinagh,51.6477,-9.1545,Cork West,2003,1
Drogheda,53.7151,-6.3566,Louth,2003,523
Drumad,54.0957,-6.3608,Louth,2003,76
Drumcollogher,52.3382,-8.9113,Limerick,2003,13
Drumlish,53.8217,-7.7659,Roscommon/Longford,2003,6
Drumshambo,54.0465,-8.04,Sligo/Leitrim,2003,26
Dublin Airport,53.4299,-6.2455,D.M.R. Northern,2003,284
Duleek,53.6539,-6.4181,Meath,2003,37
Dun Fionnachaid,55.1829,-7.9744,Donegal,2003,23
Dun Laoghaire,53.2899,-6.1333,D.M.R. Eastern,2003,1070
Dunboyne,53.4211,-6.4771,Meath,2003,116
Duncannon,52.2214,-6.9298,Wexford,2003,21
Dundalk,53.9995,-6.4097,Louth,2003,917
Dundrum,53.2895,-6.2426,D.M.R. Eastern,2003,745
Dungarvan,52.0877,-7.6245,Waterford,2003,234
Dunlavin,53.0588,-6.7011,Wicklow,2003,28
Dunleer,53.8285,-6.3946,Louth,2003,40
Dunmanway,51.7228,-9.1101,Cork West,2003,16
Dunmore East,52.1484,-6.9929,Waterford,2003,17
Dunmore,53.6176,-8.7406,Galway,2003,8
Dunshaughlin,53.5108,-6.5393,Meath,2003,73
Durrow,52.8443,-7.3961,Laois/Offaly,2003,18
Durrus,51.6205,-9.524,Cork West,2003,3
Edenderry,53.3368,-7.0608,Laois/Offaly,2003,70
Edgeworthstown,53.6956,-7.606,Roscommon/Longford,2003,48
Elphin,53.8458,-8.1925,Roscommon/Longford,2003,5
Emly,52.4651,-8.3542,Tipperary,2003,4
Emyvale,54.3394,-6.9576,Cavan/Monaghan,2003,50
Enfield,53.4151,-6.8339,Meath,2003,47
Ennis,52.8469,-8.9811,Clare,2003,470
Enniscorthy,52.5007,-6.5707,Wexford,2003,177
Enniscrone,54.2138,-9.0885,Sligo/Leitrim,2003,23
Enniskerry,53.1913,-6.1695,Wicklow,2003,82
Ennistymon,52.9374,-9.2885,Clare,2003,71
Eyrecourt,53.1994,-8.1324,Galway,2003,1
Farranfore,52.1714,-9.5497,Kerry,2003,11
Ferbane,53.2708,-7.8276,Laois/Offaly,2003,34
Fermoy,52.1385,-8.2742,Cork North,2003,101
Ferns,52.591,-6.4978,Wexford,2003,17
Ferrybank,52.2675,-7.1011,Waterford,2003,34
Fethard,52.4664,-7.6944,Tipperary,2003,22
Finglas,53.3896,-6.3068,D.M.R. Western,2003,706
Fitzgibbon Street,53.3577,-6.2554,D.M.R. North Central,2003,1037
Foxford,53.9833,-9.1084,Mayo,2003,16
Foynes,52.6097,-9.1037,Limerick,2003,15
Frenchpark,53.8692,-8.4056,Roscommon/Longford,2003,12
Freshford,52.7324,-7.3944,Kilkenny/Carlow,2003,4
Gaillimh,53.2713,-9.0583,Galway,2003,1388
Garristown,53.5671,-6.3839,D.M.R. Northern,2003,18
Glanmire,51.9184,-8.3968,Cork City,2003,127
Glantaine,52.1047,-8.7488,Cork North,2003,10
Glasson,53.4717,-7.8635,Westmeath,2003,30
Gleann na Muaidhe,54.2408,-9.6788,Mayo,2003,4
Glenamaddy,53.6074,-8.5602,Galway,2003,8
Glenbeigh,52.0571,-9.9371,Kerry,2003,3
Glengarriff,51.7506,-9.5507,Cork West,2003,14
Glenmore,52.3538,-7.028,Kilkenny/Carlow,2003,3
Glin,52.5696,-9.2845,Limerick,2003,3
Glynn,52.3728,-6.5829,Wexford,2003,6
Gob an Choire,53.9337,-9.9185,Mayo,2003,4
Golden,52.4968,-7.9847,Tipperary,2003,10
Goresbridge,52.63,-6.9944,Kilkenny/Carlow,2003,8
Gorey,52.675,-6.2973,Wexford,2003,147
Gort,53.0674,-8.8182,Galway,2003,53
Graiguenamanagh,52.5425,-6.9568,Kilkenny/Carlow,2003,30
Granard,53.7786,-7.4942,Roscommon/Longford,2003,54
Grange,54.3934,-8.5207,Sligo/Leitrim,2003,27
Greystones,53.148,-6.0632,Wicklow,2003,246
Gurranabraher,51.9034,-8.4966,Cork City,2003,255
Gurteen,53.993,-8.5158,Sligo/Leitrim,2003,7
Hackballscross,54.0316,-6.5242,Louth,2003,15
Hacketstown,52.8643,-6.557,Kilkenny/Carlow,2003,9
Headford,53.4703,-9.0983,Galway,2003,11
Henry Street,52.6617,-8.6316,Limerick,2003,1750
Holycross,52.6426,-7.8729,Tipperary,2003,6
Hospital Co Limerick,52.4752,-8.4325,Limerick,2003,10
Howth,53.3873,-6.069,D.M.R. Northern,2003,351
Indreabhan,53.2406,-9.4296,Galway,2003,10
Innishannon,51.7644,-8.6554,Cork West,2003,12
Irishtown,53.3382,-6.2233,D.M.R. South Central,2003,591
Kanturk,52.1759,-8.9126,Cork West,2003,37
Keadue,54.0506,-8.1373,Roscommon/Longford,2003,5
Kealkil,51.755,-9.3753,Cork West,2003,4
Keel,53.9754,-10.0822,Mayo,2003,5
Kells Ceanannus Mor,53.7284,-6.8812,Meath,2003,99
Kenagh,53.622,-7.8151,Roscommon/Longford,2003,5
Kenmare,51.8785,-9.5816,Kerry,2003,21
Kerrykeel,55.1371,-7.6663,Donegal,2003,13
Kevin Street,53.339,-6.2702,D.M.R. South Central,2003,1231
Kilbeggan,53.3685,-7.4992,Westmeath,2003,35
Kilbrittain,51.6735,-8.6901,Cork West,2003,10
Kilcock,53.4038,-6.6725,Kildare,2003,53
Kilconnell,53.3314,-8.4017,Galway,2003,4
Kilcormac,53.1762,-7.7288,Laois/Offaly,2003,22
Kilcullen,53.1291,-6.7466,Kildare,2003,73
Kildare,53.156000000000006,-6.9073,Kildare,2003,128
Kildorrery,52.2454,-8.4296,Cork North,2003,8
Kildysart,52.6746,-9.1058,Clare,2003,6
Kilkee,52.6824,-9.6447,Clare,2003,25
Kilkelly,53.8734,-8.8434,Mayo,2003,7
Kilkenny,52.6524,-7.2597,Kilkenny/Carlow,2003,519
Kill Co Waterford,52.1773,-7.3351,Waterford,2003,14
Killala,54.2141,-9.2205,Mayo,2003,13
Killaloe,52.8067,-8.4437,Clare,2003,90
Killarney,52.0624,-9.5124,Kerry,2003,269
Killeagh,51.9398,-7.995,Cork North,2003,37
Killenaule,52.5685,-7.6728,Tipperary,2003,22
Killeshandra,54.0118,-7.5259,Cavan/Monaghan,2003,8
Killimor,53.1659,-8.2942,Galway,2003,6
Killorglin,52.1065,-9.7871,Kerry,2003,19
Killucan,53.5147,-7.1397,Westmeath,2003,15
Kilmacow,52.3146,-7.1748,Kilkenny/Carlow,2003,3
Kilmacrennan,55.0295,-7.7785,Donegal,2003,19
Kilmacthomas,52.2062,-7.4213,Waterford,2003,8
Kilmaine,53.5826,-9.1238,Mayo,2003,2
Kilmainham,53.3419,-6.3043,D.M.R. South Central,2003,758
Kilmallock,52.3984,-8.5758,Limerick,2003,23
Kilmeaden,52.2462,-7.245,Waterford,2003,12
Kilmoganny,52.4609,-7.3293,Kilkenny/Carlow,2003,2
Kilmore Quay,52.1787,-6.5837,Wexford,2003,11
Kilnaleck,53.8585,-7.3179,Cavan/Monaghan,2003,16
Kilrickle,53.2302,-8.4524,Galway,2003,14
Kilrush,52.6411,-9.4811,Clare,2003,41
Kilsheelan,52.3615,-7.5798,Tipperary,2003,5
Kiltimagh,53.8461,-9.0058,Mayo,2003,33
Kiltormer,53.2376,-8.2713,Galway,2003,1
Kilworth,52.1763,-8.2496,Cork North,2003,14
Kingscourt,53.9043,-6.8068,Cavan/Monaghan,2003,38
Kinlough,54.4458,-8.287,Sligo/Leitrim,2003,23
Kinnegad,53.4559,-7.1028,Westmeath,2003,58
Kinnitty,53.0984,-7.7221,Laois/Offaly,2003,5
Kinsale,51.7063,-8.5255,Cork West,2003,120
Kinvara,53.1405,-8.9397,Galway,2003,19
Knock,53.7954,-8.9188,Mayo,2003,25
Knocknagoshel,52.3307,-9.3853,Kerry,2003,9
Lanesboro,53.67100000000001,-7.9853,Roscommon/Longford,2003,28
Laytown,53.6892,-6.244,Meath,2003,98
Leach Seoirse,53.3571,-8.9313,Galway,2003,21
Leamybrien,52.1693,-7.5216,Waterford,2003,15
Leitir Mor,53.2943,-9.6551,Galway,2003,10
Leixlip,53.3674,-6.4982,Kildare,2003,235
Letterfrack,53.5542,-9.9477,Galway,2003,7
Letterkenny,54.9547,-7.7364,Donegal,2003,394
Lifford,54.8328,-7.4803,Donegal,2003,32
Liscarroll,52.2596,-8.8063,Cork North,2003,4
Lisdoonvarna,53.0286,-9.2897,Clare,2003,22
Lismore,52.1367,-7.9355,Waterford,2003,26
Lissycasey,52.7461,-9.1544,Clare,2003,5
Listowel,52.4471,-9.4839,Kerry,2003,104
Littleton,52.6407,-7.7349,Tipperary,2003,14
Lixnaw,52.4041,-9.6166,Kerry,2003,11
Longford,53.7325,-7.8014,Roscommon/Longford,2003,278
Longwood,53.4546,-6.9270000000000005,Meath,2003,1
Lorrha,53.0937,-8.1221,Tipperary,2003,11
Loughrea,53.1974,-8.5699,Galway,2003,124
Louisburgh,53.7646,-9.8076,Mayo,2003,7
Louth,53.9524,-6.5379,Louth,2003,12
Lucan,53.3561,-6.4507,D.M.R. Western,2003,798
Lusk,53.5234,-6.1673,D.M.R. Northern,2003,110
Macroom,51.9063,-8.964,Cork West,2003,40
Maigh Cuilinn,53.3383,-9.1812,Galway,2003,28
Malahide,53.4512,-6.1519,D.M.R. Northern,2003,441
Mallow,52.1388,-8.6459,Cork North,2003,192
Manorhamilton,54.3044,-8.1785,Sligo/Leitrim,2003,47
Mayfield,51.9097,-8.429,Cork City,2003,162
Maynooth,53.3808,-6.5927,Kildare,2003,274
Mayorstone Park,52.6737,-8.6448,Limerick,2003,513
Midleton,51.9167,-8.1735,Cork North,2003,111
Milford Co Cork,52.3425,-8.8564,Cork North,2003,4
Milford,55.086999999999996,-7.6982,Donegal,2003,18
Millstreet Co. Cork,52.0601,-9.0615,Cork West,2003,25
Milltown,53.6116,-8.8975,Galway,2003,3
Miltown Malbay,52.8575,-9.4006,Clare,2003,32
Mitchelstown,52.2636,-8.2706,Cork North,2003,69
Moate,53.3957,-7.7345,Westmeath,2003,29
Mohill,53.9208,-7.8681,Sligo/Leitrim,2003,28
Monaghan,54.2514,-6.9675,Cavan/Monaghan,2003,210
Monasterevin,53.1382,-7.0547,Kildare,2003,60
Moneygall,52.8813,-7.9534,Tipperary,2003,5
Monivea,53.373999999999995,-8.7023,Galway,2003,0
Mooncoin,52.292,-7.2516,Kilkenny/Carlow,2003,11
Mountbellew,53.4712,-8.5001,Galway,2003,13
Mountcharles,54.6459,-8.1957,Donegal,2003,12
Mountjoy,53.3605,-6.2668,D.M.R. North Central,2003,1067
Mountmellick,53.1188,-7.3351,Laois/Offaly,2003,41
Mountrath,52.9982,-7.4781,Laois/Offaly,2003,45
Moville,55.1916,-7.0286,Donegal,2003,34
Moylough,53.4877,-8.567,Galway,2003,5
Moyne,52.7343,-7.7141,Tipperary,2003,4
Muff,55.0686,-7.2688,Donegal,2003,36
Muine Bheag,52.7013,-6.9574,Kilkenny/Carlow,2003,34
Mullagh,53.8111,-6.9432,Cavan/Monaghan,2003,15
Mullinahone,52.5102,-7.5056,Tipperary,2003,4
Mullinavat,52.3664,-7.1721,Kilkenny/Carlow,2003,11
Mullingar,53.5257,-7.346,Westmeath,2003,437
Multyfarnham,53.6242,-7.3923,Westmeath,2003,12
Murroe,52.6497,-8.3992,Limerick,2003,2
Myshall,52.6875,-6.7784,Kilkenny/Carlow,2003,0
Na Cealla Beaga,54.6366,-8.4444,Donegal,2003,28
Na Gleannta,54.7955,-8.281,Donegal,2003,13
Naas,53.2107,-6.666,Kildare,2003,624
Navan,53.6545,-6.6904,Meath,2003,352
Nenagh,52.8643,-8.1996,Tipperary,2003,129
New Ross,52.3876,-6.9508,Wexford,2003,118
Newbridge,53.1814,-6.7955,Kildare,2003,251
Newcastle West,52.4537,-9.0624,Limerick,2003,94
Newmarket,52.2146,-8.997,Cork West,2003,18
Newmarket on Fergus,52.7632,-8.8991,Clare,2003,26
Newport Co Mayo,53.8902,-9.5467,Mayo,2003,12
Newport Co Tipperary,52.7107,-8.4063,Tipperary,2003,21
Newtowncunningham,54.9976,-7.5078,Donegal,2003,21
Newtownmountkennedy,53.0969,-6.1094,Wicklow,2003,55
Nobber,53.821000000000005,-6.7466,Meath,2003,12
Oldcastle,53.7693,-7.1619,Meath,2003,43
Omeath,54.0865,-6.2563,Louth,2003,26
Oola,52.53,-8.2597,Limerick,2003,7
Oughterard,53.4274,-9.3245,Galway,2003,22
Oulart,52.5033,-6.3913,Wexford,2003,14
Oylegate,52.4241,-6.5296,Wexford,2003,5
Pallasgreen,52.5687,-8.3382,Limerick,2003,10
Pallaskenry,52.6405,-8.8665,Limerick,2003,24
Partry,53.6987,-9.2796,Mayo,2003,9
Passage East,52.2392,-6.9728,Waterford,2003,5
Passage West,51.8652,-8.3317,Cork City,2003,37
Patrickswell,52.5958,-8.7129,Limerick,2003,22
Pearse Street,53.3457,-6.2563,D.M.R. South Central,2003,5301
Pettigo,54.5482,-7.8349,Donegal,2003,3
Piltown,52.3498,-7.3255,Kilkenny/Carlow,2003,5
Portarlington,53.1592,-7.1878,Laois/Offaly,2003,67
Portlaoise,53.0317,-7.3031,Laois/Offaly,2003,487
Portlaw,52.2863,-7.3176,Waterford,2003,9
Portmagee,51.8852,-10.3618,Kerry,2003,4
Portroe,52.8819,-8.3537,Tipperary,2003,9
Portumna,53.09,-8.2204,Galway,2003,53
Raheny,53.379,-6.178,D.M.R. Northern,2003,389
Ramelton,55.0367,-7.6507,Donegal,2003,10
Raphoe,54.8744,-7.5944,Donegal,2003,35
Rathangan,53.2221,-6.9975,Kildare,2003,30
Rathcoole,53.2818,-6.4647,D.M.R. Western,2003,236
Rathcormac Co Cork,52.0761,-8.2843,Cork North,2003,19
Rathdowney,52.8567,-7.5978,Laois/Offaly,2003,22
Rathdrum,52.931000000000004,-6.2265,Wicklow,2003,86
Rathfarnham,53.2974,-6.2881,D.M.R. Southern,2003,883
Rathgormack,52.3075,-7.5038,Waterford,2003,1
Rathkeale,52.5234,-8.939,Limerick,2003,21
Rathmines,53.3213,-6.267,D.M.R. Southern,2003,832
Rathmore Co Kerry,52.0843,-9.2142,Kerry,2003,20
Rathmullen,55.0958,-7.5326,Donegal,2003,4
Rathvilly,52.8804,-6.6954,Kilkenny/Carlow,2003,15
Rhode,53.3511,-7.1948,Laois/Offaly,2003,20
Riverstown,54.1296,-8.4,Sligo/Leitrim,2003,11
